Date,Open,High,Low,Close,Adj Close,Volume
2002-04-23,265.0,265.75,265.0,264.5,264.5,44
2002-04-24,264.0,264.75,264.0,263.5,263.5,80
2002-04-25,263.5,263.75,262.5,261.0,261.0,23
2002-04-26,260.75,262.0,260.75,257.75,257.75,24
2002-04-29,258.0,258.75,258.0,256.0,256.0,82
2002-04-30,256.5,258.25,256.5,261.75,261.75,1
2002-05-01,262.5,262.5,262.5,266.25,266.25,1
2002-05-02,266.25,266.25,266.25,258.5,258.5,12
2002-05-03,258.0,258.0,258.0,260.25,260.25,12
2002-05-06,263.0,263.0,263.0,263.0,263.0,12
2002-05-07,267.0,267.0,267.0,267.0,267.0,12
2002-05-08,264.0,264.0,264.0,264.0,264.0,12
2002-05-09,266.75,266.75,266.75,266.75,266.75,12
2002-05-10,265.0,265.0,265.0,265.0,265.0,12
2002-05-13,273.5,273.5,273.5,273.5,273.5,12
2002-05-14,273.0,273.0,273.0,273.0,273.0,58
2002-05-15,278.75,279.5,278.0,283.5,283.5,153
2002-05-16,283.5,284.0,283.0,276.5,276.5,133
2002-05-17,276.75,277.5,276.5,273.75,273.75,88
2002-05-20,273.25,273.75,272.5,276.75,276.75,106
2002-05-21,277.25,278.0,277.0,273.0,273.0,63
2002-05-22,272.75,273.75,272.25,269.0,269.0,57
2002-05-23,269.0,269.25,268.0,271.5,271.5,41
2002-05-24,272.5,272.5,271.0,271.0,271.0,41
2002-05-28,268.5,269.25,268.0,272.0,272.0,112
2002-05-29,272.25,272.75,271.75,276.25,276.25,113
2002-05-30,276.25,276.5,275.0,276.5,276.5,111
2002-05-31,277.5,277.5,276.5,282.25,282.25,210
2002-06-03,282.0,282.0,279.75,286.75,286.75,119
2002-06-04,286.75,287.0,286.25,282.0,282.0,66
2002-06-05,282.0,282.75,281.0,283.25,283.25,110
2002-06-06,283.0,285.0,283.0,280.5,280.5,79
2002-06-07,279.5,281.0,279.0,275.0,275.0,259
2002-06-10,274.0,274.0,272.5,278.25,278.25,187
2002-06-11,278.25,279.0,276.5,279.5,279.5,95
2002-06-12,279.0,280.5,279.0,283.5,283.5,83
2002-06-13,283.75,285.0,283.5,295.5,295.5,258
2002-06-14,295.5,296.75,294.5,294.25,294.25,82
2002-06-17,293.5,293.75,292.25,289.25,289.25,68
2002-06-18,289.5,290.75,289.25,289.25,289.25,36
2002-06-19,289.0,290.25,289.0,291.5,291.5,161
2002-06-20,291.5,294.0,291.5,291.25,291.25,35
2002-06-21,291.0,292.5,290.75,287.25,287.25,242
2002-06-24,287.75,291.0,287.75,291.75,291.75,88
2002-06-25,290.75,292.5,290.75,291.0,291.0,21
2002-06-26,290.5,291.0,290.0,293.0,293.0,116
2002-06-27,293.5,295.0,292.0,306.5,306.5,76
2002-06-28,304.0,304.75,303.25,307.0,307.0,13
2002-07-01,304.0,312.0,304.0,315.5,315.5,3
2002-07-02,316.25,316.25,316.25,316.0,316.0,3
2002-07-03,316.0,316.0,316.0,316.0,316.0,3
2002-07-05,318.5,318.5,318.5,318.5,318.5,1
2002-07-08,316.0,316.0,316.0,314.5,314.5,9
2002-07-09,316.5,318.0,316.5,313.0,313.0,9
2002-07-10,319.5,319.5,319.5,319.5,319.5,9
2002-07-11,326.0,326.0,326.0,326.0,326.0,3
2002-07-12,321.5,321.5,321.5,315.25,315.25,362
